"table_name","column_name","data_type","column_default","is_nullable","character_maximum_length","numeric_precision","numeric_scale","table_description","column_description"
affinity_gaming_report_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,company_name,text,,YES,,,,,
affinity_gaming_report_config_data,company_name,text,,YES,,,,,
affinity_gaming_report_config_data,company_name,text,,YES,,,,,
affinity_gaming_report_config_data,company_name,text,,YES,,,,,
affinity_gaming_revenue_wtd,type,text,,YES,,,,,
affinity_gaming_revenue_wtd,audit_date,date,,YES,,,,,
affinity_gaming_revenue_wtd,period_end_date,timestamp without time zone,,YES,,,,,
affinity_gaming_revenue_wtd,loc_id,double precision,,YES,,53,,,
affinity_gaming_revenue_wtd,location_code,text,,YES,,,,,
affinity_gaming_revenue_wtd,location_name,text,,YES,,,,,
affinity_gaming_revenue_wtd,year,integer,,YES,,32,0,,
affinity_gaming_revenue_wtd,month,integer,,YES,,32,0,,
affinity_gaming_revenue_wtd,day,integer,,YES,,32,0,,
affinity_gaming_revenue_wtd,end_of_week,date,,YES,,,,,
affinity_gaming_revenue_wtd,category,text,,YES,,,,,
affinity_gaming_revenue_wtd,metric_order,integer,,YES,,32,0,,
affinity_gaming_revenue_wtd,submetric_order,integer,,YES,,32,0,,
affinity_gaming_revenue_wtd,wtd_value,double precision,,YES,,53,,,
affinity_gaming_revenue_wtd,mtd_value,double precision,,YES,,53,,,
affinity_gaming_revenue_wtd,ytd_value,double precision,,YES,,53,,,
affinity_gaming_revenue_wtd,wtd_value_prev_year,double precision,,YES,,53,,,
affinity_gaming_revenue_wtd,mtd_value_prev_year,double precision,,YES,,53,,,
affinity_gaming_revenue_wtd,ytd_value_prev_year,double precision,,YES,,53,,,
affinity_gaming_thirteen_week_cash_flow,date,timestamp without time zone,,YES,,,,,
affinity_gaming_thirteen_week_cash_flow,wtd,double precision,,YES,,53,,,
affinity_gaming_thirteen_week_cash_flow,year,bigint,,YES,,64,0,,
affinity_gaming_thirteen_week_cash_flow,month,bigint,,YES,,64,0,,
affinity_gaming_thirteen_week_cash_flow,entity_name,text,,YES,,,,,
affinity_gaming_thirteen_week_cash_flow,entity_code,text,,YES,,,,,
affinity_gaming_thirteen_week_cash_flow,location_id,bigint,,YES,,64,0,,
affinity_gaming_thirteen_week_cash_flow,category_name,text,,YES,,,,,
affinity_gaming_thirteen_week_cash_flow,gl_name,text,,YES,,,,,
affinity_gaming_thirteen_week_cash_flow,gl_number,text,,YES,,,,,
affinity_gaming_thirteen_week_cash_flow,metric_order,bigint,,YES,,64,0,,
affinity_gaming_thirteen_week_cash_flow,entity_id,bigint,,YES,,64,0,,
affinity_gaming_thirteen_week_cash_flow,type,text,,YES,,,,,
affinity_gaming_thirteen_week_cash_flow,source,text,,YES,,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
alembic_version,version_num,character varying,,NO,32,,,,
